id,regression,caused_by,shape,reach,caught_by,status
R1,Unresolvable text fill scored as #000000,pre-existing,no-consumer,16 texts / 2 files,"round 1, all three",fixed
R2,UNMEASURABLE hints emitted into a channel the gate discards,R1's fix,no-consumer,63 real findings → 0 on one file,"round 2, all three",fixed
R3,Background fill still read off the attribute after text fill was converted,R1's fix,partial-conversion,10.64:1 reported vs 1.08:1 real,round 2 architect,fixed
R4,fill not inherited from an ancestor <g fill=…>,"pre-existing, exposed by R3's fix",sibling-left-behind,15 of 48 texts on one file,round 2 bug-hunter,fixed
R5,Dark row scored against the light plate,R3's fix,half-converted-record,universal once backgrounds resolved,round 2 self-caught,fixed
R6,fill-opacity read off the attribute while fill went through the cascade,R3's fix,sibling-left-behind,"+230 corpus findings, all false",round 2 self-caught,fixed
R7,4-digit hex #3a4c crashed the layer through newly-reachable paths,R1's fix widening the cascade,nth-weaker-copy,latent,round 2 bug-hunter,fixed
R8,is_displaced discarded; decorations elected at raw coordinates,R3's fix,partial-conversion,17 false HARD / 6 files,round 3 bug-hunter,fixed
R9,"stroke-opacity defaulting to the fill's, stroke-width to 0.0","R6's fix, adjacent lines",borrowed-default,149 + 226 shapes,round 3 bug-hunter,fixed
R10,_cascade_opacity re-implementing _resolved_opacity more weakly,R6's fix,nth-weaker-copy,false PASS in HARD tier,round 3 architect,fixed
R11,merged_rules clobbering the @seq source-order map,R2-era merged_rules,half-converted-record,"128 offsets / 447 selectors, latent",round 3 architect,fixed
R12,_resolved_opacity ignoring ancestor opacity while find_backplate folded it in,R10's fix,partial-conversion,11.53:1 reported vs 1.05:1 real,round 3 architect,fixed
R13,Displaced text scored against a fabricated document ground,R8's fix,borrowed-default,15 false HARD / 1 file,round 3 bug-hunter,fixed
R14,Phantom dark stroke on strokeless shapes,R9's fix removing the guard that hid it,borrowed-default,"2 dark rows, latent",round 3 bug-hunter,fixed
R15,Connector tri-state firing only at zero parsed,R13-era tri-state,partial-conversion,8 green rows on 1 of 10 arrows,round 3 UX,fixed
R16,"Tri-state probe ignoring <path>, the house connector format",R15's fix,sibling-left-behind,latent,round 3 UX + round 4 architect,fixed
R17,"Tri-state keyed on any transformed ancestor, firing on icon glyphs",R15's fix,partial-conversion,false SKIP on 3 of 4 files,round 3 UX,fixed
R18,_font_size compounding em/% once per generation,R-font fix (round 3),partial-conversion,"26 texts / 2 files, inverted a HARD verdict","round 4, all three",fixed
R19,!important ranking unreachable behind the inline-style early return,R-important fix (round 3),no-consumer,"latent, plus a comment asserting it worked",round 4 architect,fixed (2nd attempt)
R20,_resolved_opacity rebuilding the parent map per call,R12's fix,nth-weaker-copy,1.17 ms/shape; two 70k files never completed,round 4 architect,"fixed, 29x"
R21,Text branch never given the guards its three siblings got,R8's fix,partial-conversion,latent,"round 4, all three",fixed
R22,_merge_paired_shapes dropping dark_fill/dark_stroke,R5's fix,half-converted-record,223 dark rows,round 4 architect,fixed
R23,Tri-state comparing a named count against a total parsed count,R15's fix,partial-conversion,"latent, cheap to trigger",round 4 UX + bug-hunter,fixed
R24,displaced shapes exempted from SIZE filters to fix a POSITION problem,R8's fix,partial-conversion,829 decorative shapes as failures,round 4 bug-hunter,fixed
R25,Large-text threshold in px (18/14) where WCAG specifies pt (24/18.66),"pre-existing, exposed by R18's fix",borrowed-default,"31 rows / 3 files pass at 3.0, fail at 4.5",round 5 UX,fixed
R26,find_backplate still rebuilding the parent map per rect - R20's fix stopped one caller short,R20's fix,partial-conversion,66x on 10k elements; runs twice per gate,round 5 architect + bug-hunter,fixed
R27,Shape resolved for dark colour but not dark alpha; Background got both,dark-field lineage (R5/R22 fixes),half-converted-record,"265/4256 pairs differ, 0 flips today; probe shows false HARD",round 5 architect,fixed
R28,theme_paint ranks declarations from different elements; second dark model beside merged_rules,theme_paint introduction,nth-weaker-copy,"16 elements / 2 files, right answer only by parser accident",round 5 architect + bug-hunter,fixed
R29,Unreadable dark text paint yields no row - doctrine applied to background not text,dark-unreadable work,partial-conversion,reproduced on probes; corpus reach unmeasured,round 5 bug-hunter,fixed
